Battletags,Level,Rating,K/D,KDA,Win Pct,Kills/Game,Elim/Game,Damage/Game,Healing/Game,Elim/Min,Healing/Min,Damage/Min,Solo Kills,Obj kills,Final Blows,Damage Done,Elims,Environment Kills,MultiKills,Deaths
NexX-2496,"1,895","4,299",3.89,5.85,54.4%,25.89,25.89,"10,257.31","2,146.79",2.06,2.84,814.36,356,"3,488","3,762","3,979,837","10,045",33,197,"2,581"
kensi-2546,718,"4,295",3.22,4.00,51.5%,25.38,25.38,"10,029.29",894.11,2.05,1.21,811.37,294,811,"1,302","1,012,958","2,563",2,30,795
MrWobbles-11110,224,"4,299",2.98,7.60,53.3%,19.07,19.07,"4,996.50","8,362.41",1.56,11.42,409.58,35,888, 446,"534,626","2,041",34,20,685
iNeedHugsNow-1697,"1,756","4,331",2.81,3.12,62.6%,23.41,23.41,"7,866.39",223.62,2.00, 0.32,671.13,182,"1,469","1,435","1,219,291","3,629",23,62,"1,293"
GCBakuro-1723,54,"4,304",3.24,5.42,61.8%,22.65,22.65,"8,770.78","3,023.61",1.96,4.35,757.04,152,"1,347","1,246","1,262,992","3,262",9,81,"1,006"
Tsuna-21115,"1,983","4,283",3.68,4.85,54.5%,28.93,28.93,"10,925.86","1,414.96",2.29,1.86,862.92,654,"2,383","3,437","2,687,761","7,118",19,127,"1,936"
Finnsi-2664,930,"4,282",4.99,6.45,52.9%,31.01,31.01,"11,777.41",467.26,2.41,0.61,915.31,141,966,"1,101","1,001,080","2,636",4,60,528
gabymad-2965,286,"4,281",3.78,5.17,67.7%,29.32,29.32,"9,890.71",458.62,2.77,0.72,934.12,32,367,369,"336,284",997,3,42,264
camboyo-1939,"1,244","4,101",2.69,6.13,49.7%,22.27,22.27,"6,093.09","7,440.71",1.72,9.59,471.14,74,"1,717",929," 1,054,104","3,853",64,38,"1,432"
BART-23106,384,"4,083",2.79,3.40,48.1%,22.09,22.09,"7,774.79",493.15,1.83,0.68,642.91,442,"4,860","5,204","4,509,379","12,811",72,244,"4,587"
TankMeLater-2404,"1,049","4,272",2.76,3.97,61.9% ,23.86,23.86,"8,168.76","1,220.67",1.93,1.64,659.78,48,613,578,"514,632","1,503",8,26,545
Trumpster-11821,557,"4,245",2.44,2.45,52.9%,23.18,23.18,"9,405.58",8.34,1.88,0.01,764.72,258,"1,351","1,446","1,457,865","3,593",46,27,"1,475"
Code-11753,348,"4,268",3.06,4.83,48.1%,23.04,23.04,"8,213.98","2,410.19",1.82,3.18,649.24,37,445,404,"427,127","1,198",13,11,391
Kabaji-2184,"1,211","4,266",3.25,3.63,52.8%,28.48,28.48,"10,773.12",535.06,2.31,0.72,872.47,"1,119","3,003","5,394","3,716,725","9,824",3,86,"3,024"
Worss-21624,"1,054","4,376",3.64,4.51,56.4%,28.86,28.86 ,"10,535.84","1,002.55",2.37,1.37,864.17,329,"1,279","2,004","1,475,017","4,041",8,83,"1,109"
NemeanVision-2584,112,"4,235",2.34,5.19,51.2%,17.44,17.44,"5,599.04","6,865.69",1.47,9.66,472.60,236,"1,803","1,652","1,696,510","5,285",17,66,"2,260"
swem-21157,847,"4,042",2.63,3.48,47.2%,23.18,23.18,"7,994.49",977.97,1.80,1.27,620.66,82,"1,963","1,605","1,542,936","4,474",27,68,"1,698"
Miraclehwip-1454,875,"4,337",2.28,4.81, 52.8%,16.78,16.78,"5,178.85","6,255.51",1.41,8.78,435.99,53,884,601,"636,999","2,064",3,17,906
chris-18283,504,0,2.61,5.91,46.2%,17.06,17.06,"5,756.69","7,047.89",1.37,9.47 ,463.90,32,436,316,"374,185","1,109",6,11,425
PlatChoker-2455,112,"4,361",2.76,4.92,53.4%,23.58,23.58,"8,131.74","5,223.07",1.91,7.06,659.53, 315,"2,501","2,243","2,268,756","6,580",27,88,"2,380"
Kayde-21609,485,"4,291",2.43,3.71,61.5%,20.69,20.69,"7,542.62","2,895.31",1.64,3.81,596.16,10,233,197," 196,108",538,5,7,221
FIRE-22229,887,"4,367",2.47,3.69,55.9%,20.83,20.83,"7,483.86","3,323.90",1.79,4.75,641.68,54,421,494,"441,548","1,229",4,27,497
skulp-11930,"2,531","4,117",2.89,4.14,46.9%,25.22,25.22,"9,438.71","2,241.88",1.90,2.82,712.76,97,533,586,"462,497","1,236",4,15,428 
waffletastic-1857,888,"4,249",1.75,5.01,52.1%,16.62,16.62,"4,541.97","10,044.38",1.30,13.06,354.34,74,"1,541",967,"1,062,820","3,890",12,25,"2,224"
SpoXez-2421,992,"4,248",2.99,3.58,54.0%,27.38,27.38,"9,977.55",900.07,2.22,1.22,808.74,467,"1,319","2,273","1,496,632","4,107",10,68,"1,372"
SaberWSQ-1203,350,0,2.98,5.34,58.1%,24.20,24.20,"8,199.77","2,917.04",1.95,3.92,660.35,77,687,643,"606,783","1,791",2, 34,600
Abadio-1943,942,"4,246",2.15,5.50,54.6%,18.73,18.73,"4,744.65","8,471.77",1.52,11.44,384.38,41,493,418,"313,147","1,236",3,8,575
DerZzy-1109,"1,282","4,241",2.65,3.15,51.6%,24.28,24.28,"9,482.62","1,086.71",1.97,1.47,769.77,246,"1,133","1,505","1,213,776","3,108",12,52,"1,175"
John9-21685,919,0,3.00,3.33,50.0%,29.25,29.25,"8,759.50","1,660.00",2.53,2.39,757.58,14,31,56,"35,038",117,3,8,39
hlz-21686,413,"4,190",3.13,4.34,53.2%,23.28,23.28,"8,012.81","1,490.94",2.01,2.14,690.59,92,412,477,"376,602","1,094",4,14,350
ManGoJai-4164,807,"4,467",3.06,9.37,59.7%,19.08,19.08,"7,051.16","8,895.66",1.57,12.17,579.00,52,429,383,"437,172","1,183",7,6,387
Thorkey-2225,838,"4,236",2.26,2.35,47.9%,20.90,20.90,"8,328.81",74.44, 1.75,0.10,695.64,131,288,470,"399,783","1,003",0,4,444
Steveck-1114,701,"3,935",2.60,3.31,47.8%,22.92,22.92,"8,071.29",580.72,1.86,0.79,656.56,67,"1,108",956,"912,056","2,590",22,52,997
Dubkiefan1-2604,264,0,2.47,2.55,42.9%,31.43,31.43,"11,587.29",222.00,2.35,0.28,865.18,24,66,125,"81,111",220,4,3,89
Photograph-21380,69,"4,234",2.63,5.88,56.0%,18.84,18.84,"4,477.00","7,030.16",1.60,9.93,379.28,18,207,153,"111,925",471,8,4,179
snooperoofle-1902,925,"4,232",2.26,2.79,51.6%,23.19,23.19,"8,794.18","1,348.20",1.93,1.87,732.85,438,"1,302","1,862","1,363,098","3,594",10,38,"1,593"
KIMHANGYEOM-1254,43,"4,311",2.63,3.05,50.6%,24.32,24.32,"9,101.79",565.98,2.09,0.81,783.53,647,"2,059","3,054","2,266,345","6,055",6,101,"2,302"
doublestar-21134,947,"4,010",0.37,6.61,37.1%,2.40,2.40,798.71,"14,544.74",0.19,19.43,64.03,2,36,17,"27,955",84,0,6,229
WaRiaL-2744,711,0,0.87,1.58,33.3%,9.00,9.00,"5,875.00",32.33,0.93,0.06,604.98,6,6,18,"17,625",27,12,9,31
EmCo-21274,710,"4,225",2.82,4.94,51.6%,21.39,21.39,"6,596.81","2,531.52",2.21,4.36,681.67,34,253,287,"204,501",663,17,19,235
Aborted-1554,468,"4,188",2.73,8.79,80.0%,16.90,16.90,"4,486.80","9,321.20",1.55,14.25,411.44,2,73,39,"44,868",169,2,4,62
Nymeria-11221,563,"4,223",2.68,3.61,51.5%,25.00,25.00,"9,636.21","2,289.91",2.29,3.50,883.32,79,301,414,"317,995",825,4,15,308
zhaipaa-2922,"1,390","4,221",2.53,3.03,50.0%,22.78,22.78,"8,264.37",531.32,1.82,0.71,660.40,84,"1,421","1,227","1,223,127","3,372",34,63,"1,332"
Izzy-1578,799,"4,220",1.86,4.12,52.5%,18.56,18.56,"5,956.57","6,972.32",1.48,9.30,476.53,86,914,761,"714,788","2,227",14,42,"1,198"
Phoxine-1170,"2,290",0,1.92,6.39,50.9%,13.65,13.65,"3,200.25","11,927.93",1.08,15.71,252.97,46,565,314,"364,828 ","1,556",3,10,812
ragdoll-11833,975,0,0.75,31.12,0.0%,0.00,6.00,"5,054.00","66,781.00",0.70,129.92,589.96,471,3,3,"5,054",6,20,53,8
Sobek-11464,"1,899","4,345",2.73,4.22,50.7%,21.99,21.99,"8,063.29","3,130.62",1.80,4.26,658.93,255,"2,329","2,489","2,306,101","6,290",67,84,"2,307"
Solify-1279,"1,222","4,196",2.45,3.60,51.7%,22.10,22.10,"8,092.27","2,740.01",1.80,3.72,659.95,367,"1,904","2,154","1,942,144","5,304",29,95,"2,168"
Matiash4km-1162,730,"4,212",2.17,3.40,48.4%,20.98,20.98,"7,356.23","2,530.43",1.71,3.45,601.44,271,862,"1,132","897,460","2,559",21,30,"1,181"
MediL-21398,688,"4,213",2.00,2.30,47.8%,17.96,17.96,"7,087.13",0.00,1.72,0.00,679.18,13,179 ,172,"163,004",413,2,15,207
Soki-2880,342,"4,434",5.05,7.93,54.5%,26.37,26.37,"9,612.09","2,012.66",2.17,2.76,791.78,118,"1,174","1,136","1,057,330","2,901",11,56,574
jnt-21405,901 ,"4,056",2.14,5.56,49.0%,18.35,18.35,"5,471.06","8,149.98",1.46,10.79,434.53,61,"1,144",720,"858,956","2,881",12,15,"1,346"
King-15164,"1,260","3,961",2.06,3.19,53.2%,19.39,19.39,"7,419.08","2,143.05",1.57,2.88,599.21,47,855,768,"808,680","2,113",7,38,"1,024"
Niick-11676,162,"3,757",2.31,5.88,59.7%,17.89,17.89,"5,091.11","8,423.00",1.42,11.16,404.55,33,538,360,"366,560","1,288",4,10,558
LilBigHobo-1748,657,"4,205",2.72,3.93,53.3%,22.52,22.52,"8,167.56","1,596.51",1.85,2.18,670.45,44,778,647,"628,902","1,734",10,40,638 
Khry-1834,"1,302","4,206",3.04,3.71,50.1%,25.22,25.22,"9,875.40",865.14,2.02,1.16,792.51,"1,389","3,559","5,160","3,979,788","10,162",22,134,"3,343"
paladinstorb-2637,187,"4,205",1.69,2.56,49.4%,19.06,19.06,"7,139.67","2,042.66",1.53,2.74,574.94,391,"4,210","3,440","3,484,159","9,300",70,147,"5,494"
TonyTruand-21887,963,"4,204",3.47,5.15,50.9%,26.93,26.93,"9,876.70","2,045.16",2.19, 2.77,802.99,244,923,"1,405","1,066,684","2,908",11,32,837
Trey-1555,761,"4,202",0.21,6.02,53.9%,1.68,1.68,569.29,"13,787.82",0.13,17.78,44.05,4,57,27,"37,004",109,2,2,531
Ray-2128,"1,104","4,201",2.25,3.19,51.3%,24.05,24.05,"8,464.59","2,346.27",1.98,3.22,697.20,541,"3,119","3,561","2,886,426","8,200",11,118,"3,640"
Tap-11492,205,"4,200",2.64,3.84,56.0%,23.70,23.70,0.00," 2,568.48",2.19,3.96,0.00,97,392,527,0,"1,185",2,10,449
Kolorblind-11235,"1,569","4,199",2.57,3.15,53.8%,21.01,21.01,"9,114.00","2,098.90",1.85,3.08,801.19,144,678,916,"847,602","1,954",4,31,761
Raxx-21524,414,"3,832",2.32,3.28,49.7%,22.11,22.11,"7,900.22","3,091.22",1.78,4.15,636.15,397,"1,335","1,691","1,350,938","3,781",10,37,"1,633"
Kai-13326,750,"4,197",2.53,2.90,50.0%,22.73,22.73,"7,665.06",236.27,1.80,0.31,606.76,33,642,597,"536,554","1,591",6,23,628
Tres-1759,792,"4,196",3.16,3.67,50.0%,28.32,28.32,"10,508.63",794.97,2.24,1.05,831.93,94,360,559,"399,328","1,076",2,38,340
Rampikes-1359,500,"4,183",2.90,3.36,57.1%,22.46,22.46,"8,243.46",208.45,1.81,0.28,662.44,30,572,492,"461,634","1,258",10,18,434
Sid-21927,"1,070","3,783",3.06,4.00,45.7%,27.72,27.72,"9,932.97",569.31,2.24,0.77,804.33,476,"2,434","3,036","2,562,707","7,152",41,145,"2,340"
Heavygunner-31445,842,0,2.06,4.67,53.6%,16.01,16.01,"5,047.19","5,981.73",1.33,8.27,418.74,172,"1,416","1,290","1,206,278","3,827",25,47,"1,855"
August8th-11499,454,"4,191",2.95,3.91,49.5%,25.88,25.88,"9,724.19","1,839.39",2.26,2.67,847.75,488,"1,907"," 3,040","1,983,734","5,279",8,140,"1,792"
Trelae-2391,832,"4,085",2.40,5.62,50.0%,20.96,20.96,"5,684.08","7,491.79",1.71,10.19,463.73,101,755,630,"545,672","2,012",44,19,837
HITBOB-2824,931,"3,782",1.61,4.24,58.3%,15.25,15.25," 4,184.92","7,998.12",1.28,11.20,351.51,5,154,78,"100,438",366,2,121,227
Tilmesa-2787,658,"4,306",2.18,2.95,50.8%,21.10,21.10,"7,706.33","1,059.50",1.71,1.43,622.90,406,"4,388","4,390","4,092,062","11,205",81, 221,"5,133"
Blommekagen-2197,88,"4,186",2.54,3.91,49.3%,27.76,27.76,"10,133.46","2,203.72",2.28,3.02,832.39,425,"2,010","2,885","2,097,626","5,747",5,137,"2,259"
CHASEJIN-1489,443,"4,185",1.64,2.33,49.6%,18.39 ,18.39,"8,459.79","1,281.44",1.52,1.77,699.61,321,754,"1,224","1,040,554","2,262",6,31,"1,377"
uMental-1771,952,"4,178",2.66,3.19,55.6%,18.54,18.54,"6,873.63","1,147.67",1.54,1.59,571.82,113,781,609,"618,627","1,669",26,22,627
Nikki-12866,292,"4,181",2.84,4.03,52.3%,24.37,24.37,"8,401.42","2,345.27",2.01,3.22,692.94,271,"1,764","2,034","1,621,474","4,704",13,81,"1,657"
eighteen-21366,372,"4,180",2.47,3.17,49.5%,23.80,23.80,"9,491.75","2,098.54",1.93,2.84,769.41 ,311,842,"1,314","1,015,617","2,547",8,16,"1,033"
Psychopath-11630,"1,310","3,858",2.26,2.45,45.8%,22.83,22.83,"9,435.31",387.50,1.86,0.53,769.45,567,895,"1,808","1,236,026","2,991",20,41,"1,323"
Soxs-1508,431,"4,177",3.71,5.73,51.3%,27.64,27.64,"9,176.78",136.52,2.28,0.19,756.68,229,"4,463","3,198"," 3,450,470","10,394",10,384,"2,801"
moursi-2870,"1,850","4,177",4.18,5.48,52.2%,26.14,26.14,"8,816.12",943.31,2.10,1.26,707.53,257,"3,000","3,145","3,041,562","9,018",40,139,"2,160"
device-11540,812,"4,174",2.79,5.21,53.2%,19.48,19.48,"6,064.91","4,023.22",1.62,5.59,505.77,117,793,741,"661,075","2,123",13,28,760
Userwet-1852,"2,002","4,088",2.11,2.92,49.3%,21.25,21.25,"7,807.44","1,730.53",1.67,2.27,614.80,174,"2,718","2,301","2,357,847","6,418",57,144,"3,044"
HamSandwich-11157,"1,852","4,095",2.26,3.68,48.3%,22.86,22.86,"7,819.95","3,769.94",1.85,5.08,632.17,563,"2,188","3,011","2,056,648","6,013",22,99,"2,664"
Scrumpy-2827,404,"4,118",1.87,3.16,47.0%,18.86,18.86,"7,332.41","3,523.73",1.49,4.64,579.44,30,563,415,"483,939 ","1,245",7,21,665
Quader-21746,826,"4,084",2.11,4.47,47.6%,17.99,17.99,"5,564.96","6,419.81",1.44,8.54,444.16,207,"2,998","2,133","2,187,030","7,072",79,73,"3,345"
Spynator-2254,678,"3,937",2.43,4.18,51.9%,19.63,19.63,"6,555.25","3,619.83",1.63,5.01,544.24,60,395,382,"340,873","1,021",6,5,420
Peike-2406,898,"4,045",2.46,4.11,61.9%,21.00,21.00,"6,034.71","3,548.86",1.84,5.18,528.81,16,159,150,"126,729",441,2,5,179
nobodykares-1621,"1,322","4,074",2.22,6.41,45.9%,15.09,15.09,"3,973.92","8,658.37",1.37,13.10,360.83,92,"1,130",687,"727,227","2,761",6 ,23,"1,242"
Theone616-1486,"1,088",0,2.59,3.47,51.4%,22.87,22.87,"7,614.67","1,178.01",1.84,1.58,612.77,111,"1,717","1,605","1,363,026","4,094",37,73,"1,578"
